stemID           LocationX        LocationY        Length           Radians         
14943            91.10            184.96           20.43            0.52            
14944            91.10            184.96           30.01            0.00            
14945            91.10            184.96           20.43            -0.52           
14946            -15.20           202.38           18.91            3.14            
14947            -15.20           202.38           27.79            2.62            
14948            -15.20           202.38           18.91            2.09            
14949            -10.03           221.23           25.73            2.62            
14950            -10.03           221.23           37.81            2.09            
14951            -10.03           221.23           25.73            1.57            
14952            8.87             216.28           18.91            2.09            
14953            8.87             216.28           27.79            1.57            
14954            8.87             216.28           18.91            1.05            
14955            10.27            233.69           23.83            2.62            
14956            10.27            233.69           35.01            2.09            
14957            10.27            233.69           23.83            1.57            
14958            27.78            251.00           32.41            2.09            
14959            27.78            251.00           47.62            1.57            
14960            27.78            251.00           32.41            1.05            
14961            45.28            233.69           23.83            1.57            
14962            45.28            233.69           35.01            1.05            
14963            45.28            233.69           23.83            0.52            
14964            46.68            216.28           18.91            2.09            
14965            46.68            216.28           27.79            1.57            
14966            46.68            216.28           18.91            1.05            
14967            65.59            221.23           25.73            1.57            
14968            65.59            221.23           37.81            1.05            
14969            65.59            221.23           25.73            0.52            
14970            70.75            202.38           18.91            1.05            
14971            70.75            202.38           27.79            0.52            
14972            70.75            202.38           18.91            0.00            
14973            39.35            228.40           22.06            2.62            
14974            39.35            228.40           32.41            2.09            
14975            39.35            228.40           22.06            1.57            
14976            55.56            244.42           30.01            2.09            
14977            55.56            244.42           44.10            1.57            
14978            55.56            244.42           30.01            1.05            
14979            71.76            228.40           22.06            1.57            
14980            71.76            228.40           32.41            1.05            
14981            71.76            228.40           22.06            0.52            
14982            83.33            245.17           27.79            2.09            
14983            83.33            245.17           40.83            1.57            
14984            83.33            245.17           27.79            1.05            
14985            111.11           252.44           37.81            1.57            
14986            111.11           252.44           55.55            1.05            
14987            111.11           252.44           37.81            0.52            
14988            118.69           224.75           27.79            1.05            
14989            118.69           224.75           40.83            0.52            
14990            118.69           224.75           27.79            0.00            
